   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time
 540,              ,                ,               ,      4762,        2374,       3492,      4225,           0,       3232,              ,                ,               
 541,              ,                ,               ,      4983,        2925,       3142,      4243,           0,       3217,              ,                ,               
 542,              ,                ,               ,      5147,        2733,       3251,      4228,           0,       3590,              ,                ,               
 543,              ,                ,               ,      5349,        2582,       3100,      4252,           0,       3115,              ,                ,               
 544,              ,                ,               ,      5405,        3101,       3362,      4261,           0,       3521,              ,                ,               
 545,              ,                ,               ,      4872,        2636,       4065,      4271,           0,       3019,              ,                ,               
 546,              ,                ,               ,      5168,        2484,       3232,      4268,           0,       3021,              ,                ,               
 547,              ,                ,               ,      5429,        3174,       4809,      4288,           0,       3033,              ,                ,               
 548,              ,                ,               ,      5971,        3706,       3871,      4299,           0,       3087,              ,                ,               
 549,              ,                ,               ,      4956,        2646,       3998,      4304,           0,       3052,              ,                ,               
 550,              ,                ,               ,      5349,        3070,       3364,      4318,           0,       3074,              ,                ,               
 551,              ,                ,               ,      4722,        2857,       3540,      4323,           0,       3380,              ,                ,               
 552,              ,                ,               ,      5418,        3015,       4336,      4339,           0,       3175,              ,                ,               
 553,              ,                ,               ,      5340,        3458,       3916,      4342,           0,       3095,              ,                ,               
 554,              ,                ,               ,      5062,        2694,       3422,      4334,           0,       3309,              ,                ,               
 555,              ,                ,               ,      5319,        2743,       3227,      4358,           0,       4228,              ,                ,               
 556,              ,                ,               ,      5255,        2801,       5553,      4360,           0,       3630,              ,                ,               
 557,              ,                ,               ,      5774,        2893,       3675,      4372,           0,       3368,              ,                ,               
 558,              ,                ,               ,      6247,        3114,       3857,      4376,           0,       3086,              ,                ,               
 559,              ,                ,               ,      5927,        2844,       3677,      4377,           0,       3929,              ,                ,               
 560,              ,                ,               ,      5987,        3062,       3697,      4387,           0,       3087,              ,                ,               
